Player,Position,Cost,Points,Calc Points,App,Sub,Gls,Ass,MotM,%,Yel,Red,Pass 1,Pass 2,Tack 1,Tack 2,Shot 1,Shot 2,Save 1,Save 2,Cl Sh,Gl Con
"BENTEKE, C",STR,10.0,81.0,84.0,24,7,3,6,0,0.74,6,0,0,0,1,0,0,0,0,0,0,0
"MIGNOLET, S",GK,6.7,81.0,82.0,19,0,0,0,0,0.16,3,0,0,0,0,0,0,0,2,0,7,24
"STANISLAS, J",MID,8.1,81.0,81.0,17,2,5,3,1,0.49,1,0,0,0,1,0,0,0,0,0,0,20
"HOEDT, W",DEF,7.4,81.0,89.5,28,0,0,1,1,0.6,7,0,0,1,6,1,0,0,0,0,5,42
"COOK, S",DEF,7.5,80.0,93.0,31,3,2,1,0,0.67,5,0,1,0,1,0,0,0,0,0,5,52
"WELBECK, D",STR,10.1,80.0,80.0,12,16,5,2,2,0.38,1,0,0,0,0,0,0,0,0,0,0,0
"HENDRICK, J",MID,7.9,80.0,80.0,29,5,2,2,0,0.55,1,0,0,0,0,0,0,0,0,0,0,24
"KABASELE, C",DEF,7.5,80.0,94.25,27,1,2,0,0,0.39,5,0,0,1,4,0,0,0,0,0,6,43
"AUSTIN, C",STR,9.4,80.0,80.0,10,14,7,1,1,1.08,2,0,0,0,0,0,1,1,0,0,0,0
"GRAY, A",STR,8.2,79.0,79.0,16,15,5,2,0,1.75,1,0,0,0,0,0,1,0,0,0,0,0
PEDRO,MID,9.0,79.0,79.0,17,14,4,2,0,0.79,1,0,0,0,0,0,1,0,0,0,0,13
"GIROUD, O",STR,11.3,79.0,79.0,7,22,7,1,1,0.93,0,0,0,0,0,0,0,0,0,0,0,0
"KEANE, M",DEF,7.6,79.0,91.5,29,1,0,1,1,7.16,3,0,0,0,2,0,0,0,0,0,7,46
"SAKHO, M",DEF,8.1,78.0,83.25,18,1,1,2,2,0.86,1,0,0,0,0,0,0,0,0,0,6,23
"BAKAYOKO, T",MID,8.0,78.0,78.0,24,5,2,2,0,0.75,3,1,0,0,5,1,0,0,0,0,0,18
"EVANS, J",DEF,7.3,78.0,88.25,26,2,2,2,0,3.82,7,0,0,0,3,0,0,0,0,0,5,39
"OGBONNA, A",DEF,7.2,77.0,97.0,32,0,1,0,1,1.13,3,0,1,0,1,0,0,0,0,0,7,60
ADRIAN,GK,6.3,77.0,85.75,19,0,0,0,0,0.53,2,0,0,0,0,0,0,0,3,3,6,29
"WALCOTT, T",MID,8.9,76.0,76.0,13,7,3,3,2,3.65,2,0,0,0,3,0,1,0,0,0,0,17
"SUNG-YEUNG, K",MID,7.4,76.0,76.0,21,4,2,2,2,1.47,2,0,0,0,2,0,0,0,0,0,0,29
"LOFTUS-CHEEK, R",MID,8.8,76.0,76.0,21,3,2,5,1,1.92,1,0,0,0,0,0,0,0,0,0,0,28
"MASUAKU, A",DEF,7.1,75.0,81.75,21,6,0,3,0,1.7,5,0,0,0,2,1,0,0,0,0,6,29
"CLEVERLEY, T",MID,7.8,75.0,78.0,22,1,1,2,2,0.5,1,1,0,3,3,0,0,0,0,0,0,25
"ANTONIO, M",MID,7.9,74.0,74.0,16,5,3,2,2,2.61,1,0,0,0,0,0,2,0,0,0,0,22
"DAVIS, S",MID,7.8,74.0,74.0,17,6,3,1,0,0.42,0,0,3,1,2,0,0,0,0,0,0,22
"MARCH, S",MID,7.7,73.0,73.0,18,18,1,3,0,0.25,3,0,0,0,2,1,0,0,0,0,0,28
"LEJEUNE, F",DEF,7.0,73.0,79.0,24,0,0,2,0,1.62,3,0,3,1,1,0,0,0,0,0,5,32
"REDMOND, N",MID,7.3,72.0,72.0,22,9,1,3,1,4.93,3,0,0,0,1,0,0,0,0,0,0,29
"DAVIES, T",MID,7.6,72.0,72.0,20,13,2,2,0,1.3,7,0,0,0,4,0,0,0,0,0,0,22
"HART, J",GK,6.4,71.0,80.25,19,0,0,1,2,0.14,0,0,0,0,0,0,0,0,4,1,4,39
"DEMBELE, M",MID,8.9,71.0,71.0,21,7,0,0,0,1.21,6,0,4,4,4,0,0,0,0,0,0,22
JOSELU,STR,8.5,71.0,74.0,19,11,4,1,0,0.4,2,0,0,0,0,0,2,0,0,0,0,0
"HOLEBAS, J",DEF,7.2,70.0,84.25,26,2,0,4,0,0.64,7,0,0,0,2,1,0,0,0,0,6,47
"ATSU, C",MID,7.7,69.0,69.0,19,9,2,2,1,0.34,1,0,0,0,0,0,0,0,0,0,0,20
"JANMAAT, D",DEF,7.1,69.0,77.75,21,2,3,1,0,1.1,3,0,0,0,6,0,0,0,0,0,2,37
"LOWE, C",DEF,7.1,69.0,75.5,19,4,0,0,0,0.23,1,0,0,0,4,1,0,0,0,0,6,26
"HUGHES, W",MID,7.5,68.0,68.0,11,4,2,3,3,0.92,0,0,0,0,3,0,0,0,0,0,0,16
"BONG, G",DEF,7.2,67.0,77.0,25,0,0,0,0,0.29,2,0,0,0,1,2,0,0,0,0,6,36
"MORENO, A",DEF,7.9,67.0,73.25,14,2,0,0,0,0.5,1,0,2,1,3,2,0,0,0,0,6,19
"GABBIADINI, M",STR,9.5,67.0,67.0,11,17,5,0,1,0.32,2,0,0,0,0,0,0,0,0,0,0,0
"ZAPPACOSTA, D",DEF,7.8,67.0,69.25,12,10,1,1,0,0.7,0,0,0,0,1,0,1,0,0,0,5,15
"LENNON, A",MID,7.4,67.0,67.0,22,7,0,4,0,1.36,2,0,0,0,3,0,0,0,0,0,0,30
"GOMES, H",GK,6.3,67.0,79.0,24,0,0,0,0,0.29,0,0,0,0,0,0,0,0,3,0,5,40
"CHILWELL, B",DEF,7.6,67.0,74.5,20,4,0,2,0,0.49,1,1,0,0,3,0,0,0,0,0,6,30
"FEMENIA, K",DEF,7.4,67.0,77.5,19,4,1,1,1,0.24,2,0,0,0,3,0,0,0,0,0,5,34
"ALDERWEIRELD, T",DEF,9.8,66.0,67.75,13,1,0,0,0,0.8,3,0,4,4,1,0,0,0,0,0,5,13
"OBIANG, P",MID,7.6,66.0,66.0,18,3,2,0,1,0.31,3,0,0,1,2,2,0,0,0,0,0,26
"VOKES, S",STR,8.1,65.0,65.0,7,23,4,2,1,1.72,3,0,0,0,0,0,0,0,0,0,0,0
"ALEXANDER-ARNOLD, T",DEF,8.4,65.0,63.5,18,1,1,1,1,6.39,3,0,3,1,4,0,0,0,0,0,0,10
"HERRERA, A",MID,8.8,65.0,65.0,13,13,0,2,0,0.45,5,0,3,3,5,0,0,0,0,0,0,13
"IBORRA, V",MID,7.5,65.0,65.0,17,2,3,0,1,0.37,0,0,0,0,3,0,0,0,0,0,0,22
"SMITH, A",DEF,7.2,64.0,71.5,22,5,1,3,0,0.45,6,0,0,0,6,0,0,0,0,0,2,38
"DEFOUR, S",MID,7.6,64.0,64.0,24,0,1,1,1,0.38,6,0,2,0,2,0,0,0,0,0,0,14
"DEFOE, J",STR,8.3,64.0,64.0,11,13,4,1,1,1.55,1,0,0,0,0,0,1,0,0,0,0,0
"MARTINA, C",DEF,7.4,63.0,70.5,20,1,0,2,0,0.23,2,0,0,0,4,0,0,0,0,0,5,30
"BAILLY, E",DEF,8.7,63.0,65.5,11,2,1,0,0,1.98,2,0,0,1,0,0,0,0,0,0,7,6
"GOSLING, D",MID,7.5,63.0,63.0,21,7,2,1,1,0.33,8,0,0,0,1,0,0,0,0,0,0,36
"KENNY, J",DEF,7.2,62.0,72.25,17,2,0,2,1,0.33,2,0,0,0,2,2,0,0,0,0,5,31
"LAPORTE, A",DEF,8.8,62.0,60.75,9,0,0,0,0,0.99,1,0,2,7,0,0,0,0,0,0,4,5
"LINDELOF, V",DEF,8.2,62.0,62.5,13,4,0,0,0,0.41,1,0,3,2,0,0,0,0,0,0,5,14
"MARIAPPA, A",DEF,7.0,62.0,74.25,24,4,0,0,0,0.87,4,0,0,0,2,1,0,0,0,0,6,43
"JAGIELKA, P",DEF,7.3,61.0,73.25,23,2,0,0,1,1.0,2,0,0,0,1,0,0,0,0,0,6,39
"MORGAN, W",DEF,7.3,61.0,74.0,32,0,0,0,0,0.73,4,0,0,0,1,0,0,0,0,0,5,52
"COOK, L",MID,7.4,61.0,61.0,25,4,0,2,0,1.17,5,0,0,0,3,0,0,0,0,0,0,39
"SCHLUPP, J",DEF,7.3,61.0,66.5,21,3,0,2,0,0.42,3,0,0,0,4,1,0,0,0,0,3,30
"SMITH, T",DEF,6.9,61.0,68.25,21,3,0,1,1,0.65,7,0,0,0,1,1,0,0,0,0,5,31
"SIMPSON, D",DEF,7.2,60.0,67.75,27,1,0,0,0,0.62,4,0,0,0,1,0,0,0,0,0,5,41
"STEPHENS, J",DEF,6.9,60.0,67.75,22,0,2,0,0,1.26,6,1,0,0,1,0,0,0,0,0,5,33
"LONG, S",STR,8.0,60.0,60.0,15,15,2,2,0,1.01,6,0,0,0,1,1,0,0,0,0,0,0
"DUMMETT, P",DEF,6.8,60.0,60.5,19,1,0,0,0,1.4,1,0,0,0,1,0,0,0,0,0,5,18
"CLARK, C",DEF,6.7,59.0,65.5,19,1,2,1,0,1.3,3,0,0,0,0,0,0,0,0,0,4,30
"SISSOKO, M",MID,8.7,59.0,59.0,15,18,1,1,0,0.19,3,0,1,1,0,0,0,0,0,0,0,17
"SCHNEIDERLIN, M",MID,7.3,59.0,59.0,24,6,0,0,0,1.11,4,1,1,0,5,0,0,0,0,0,0,34
"IHEANACHO, K",STR,8.0,59.0,59.0,7,14,3,3,1,2.11,2,0,0,0,0,0,2,0,0,0,0,0
"TOSUN, C",STR,10.2,58.0,58.0,12,2,5,0,1,2.09,0,0,0,0,0,0,1,0,0,0,0,0
"DUBRAVKA, M",GK,6.6,58.0,53.25,12,0,0,0,0,1.76,0,0,0,0,0,0,0,0,2,0,4,11
"ELLIOT, R",GK,6.1,57.0,49.75,16,0,0,0,0,0.14,0,0,0,0,0,0,0,0,1,0,3,21
"KING, A",MID,7.2,57.0,57.0,14,8,3,1,0,0.2,2,0,0,0,1,0,0,0,0,0,0,25
"MCCARTHY, A",GK,6.6,57.0,62.5,18,0,0,0,1,0.45,2,0,0,0,0,0,0,0,1,0,4,26
"HOJBJERG, P",MID,7.1,57.0,57.0,19,4,0,0,1,0.65,6,0,2,2,3,0,0,0,0,0,0,27
"FUCHS, C",DEF,7.3,56.0,67.25,21,4,0,1,0,0.55,1,0,0,0,4,0,0,0,0,0,4,35
"LAMELA, E",MID,8.9,56.0,56.0,7,18,2,4,0,0.56,4,0,0,0,2,0,0,0,0,0,0,11
"LONG, K",DEF,7.1,55.0,60.75,16,0,1,2,0,0.36,1,0,0,0,1,0,0,0,0,0,4,21
"SHAW, L",DEF,7.8,55.0,55.5,8,3,0,0,0,1.85,2,0,0,0,2,0,0,0,0,0,7,2
"WILLIAMS, A",DEF,7.0,55.0,62.25,20,4,1,0,1,1.81,3,1,0,0,0,0,0,0,0,0,4,31
"HADERGJONAJ, F",DEF,6.8,54.0,61.0,19,4,0,1,0,0.27,3,0,0,0,3,0,0,0,0,0,4,28
"FOSU-MENSAH, T",DEF,7.3,54.0,59.75,17,4,0,0,2,0.15,2,0,0,0,4,1,0,0,0,0,2,29
"FELLAINI, M",MID,8.7,53.0,53.0,5,11,4,0,1,0.91,1,0,1,0,1,0,0,0,0,0,0,1
"KACHUNGA, E",STR,8.0,52.0,52.0,17,2,1,1,0,0.22,1,0,0,0,3,1,0,0,0,0,0,0
KENEDY,MID,7.8,52.0,52.0,13,0,2,2,1,5.55,1,0,0,0,2,0,0,0,0,0,0,9
"SOBHI, R",MID,6.5,52.0,52.0,12,12,2,0,0,1.68,2,0,0,0,3,0,0,0,0,0,0,30
"MALONE, S",DEF,6.9,52.0,55.25,12,10,0,1,0,0.25,3,0,1,0,5,0,0,0,0,0,3,23
"BRADY, R",MID,7.3,51.0,51.0,15,0,1,3,1,0.82,3,0,0,0,2,0,0,0,0,0,0,10
"MANQUILLO, J",DEF,6.7,50.0,56.25,20,1,0,1,0,0.69,2,0,0,0,1,0,0,0,0,0,4,31
"QUANER, C",STR,7.8,50.0,50.0,13,13,0,4,0,0.28,4,0,0,0,0,1,0,0,0,0,0,0
"MURPHY, J",MID,7.2,50.0,50.0,13,12,1,2,0,0.31,0,0,0,0,0,0,0,0,0,0,0,24
"MURPHY, J",MID,7.2,50.0,0.0,0,0,0,0,0,0.42,0,0,0,0,0,0,0,0,0,0,0,0
"MURPHY, J",MID,7.0,0.0,50.0,13,12,1,2,0,0.31,0,0,0,0,0,0,0,0,0,0,0,24
"MURPHY, J",MID,7.0,0.0,0.0,0,0,0,0,0,0.42,0,0,0,0,0,0,0,0,0,0,0,0
"CAPOUE, E",MID,7.1,49.0,49.0,18,5,1,0,0,1.18,3,0,0,0,1,1,0,0,0,0,0,27
"RICE, D",DEF,6.6,48.0,41.25,15,11,0,0,0,0.66,1,0,1,0,3,0,0,0,0,0,0,27
"WARD, J",DEF,6.9,47.0,53.75,19,0,0,1,0,0.66,4,0,0,0,0,1,0,0,0,0,4,25
"HEMED, T",STR,7.8,46.0,46.0,9,7,2,2,1,0.15,0,0,0,0,0,0,0,0,0,0,0,0
"ELNENY, M",MID,7.2,45.0,45.0,11,2,0,1,0,0.45,3,1,3,6,0,0,0,0,0,0,0,11
"COLEMAN, S",DEF,8.3,45.0,47.0,12,0,0,1,0,2.23,0,0,0,0,0,1,0,0,0,0,4,12
"WILSHERE, J",MID,8.7,45.0,45.0,12,8,1,3,0,3.88,6,0,1,0,1,0,0,0,0,0,0,15
"WANYAMA, V",MID,7.8,44.0,44.0,8,10,1,0,0,0.82,2,0,0,2,1,2,0,0,0,0,0,9
"BARDSLEY, P",DEF,6.8,43.0,43.75,13,0,0,0,0,0.55,5,0,0,0,3,0,0,0,0,0,4,13
"SAKO, B",MID,7.2,43.0,43.0,4,12,3,0,1,0.47,0,0,0,0,0,0,0,0,0,0,0,10
"REID, W",DEF,6.7,43.0,51.25,17,0,0,0,0,1.56,5,0,2,0,0,0,0,0,0,0,5,27
"PRODL, S",DEF,6.6,43.0,50.75,17,4,0,0,0,0.79,5,0,0,0,0,0,0,0,0,0,5,29
"PRITCHARD, A",MID,7.3,42.0,42.0,12,2,1,2,1,0.32,1,0,0,0,0,0,0,0,0,0,0,12
"SUTTNER, M",DEF,6.7,42.0,46.5,13,1,0,0,0,0.2,0,0,0,0,2,0,0,0,0,0,4,18
"HOLGATE, M",DEF,7.3,42.0,43.5,13,2,0,0,0,0.47,3,0,0,0,1,0,0,0,0,0,4,14
"HAYDEN, I",MID,7.1,40.0,40.0,15,11,1,0,0,0.17,7,0,0,0,0,0,0,0,0,0,0,24
"ARTER, H",MID,7.3,40.0,40.0,11,2,1,0,0,0.43,4,0,0,2,4,0,0,0,0,0,0,12
"WINKS, H",MID,7.1,40.0,40.0,9,7,0,1,0,0.79,0,0,2,2,1,0,0,0,0,0,0,8
"KELLY, M",DEF,6.7,38.0,44.75,12,3,0,0,0,0.43,1,0,0,0,2,0,0,0,0,0,4,21
"CARROLL, A",STR,8.3,38.0,38.0,7,9,3,1,1,0.52,5,1,0,0,0,0,0,0,0,0,0,0
"STURRIDGE, D",STR,9.6,37.0,37.0,7,8,2,1,0,0.38,0,0,0,0,0,0,1,0,0,0,0,0
"MOUSSET, L",STR,7.8,36.0,36.0,4,19,2,0,0,0.27,1,0,0,0,0,0,0,0,0,0,0,0
"SPERONI, J",GK,5.7,36.0,37.5,11,0,0,0,0,0.26,0,0,0,0,0,0,0,0,1,1,2,14
"BOLASIE, Y",MID,7.9,36.0,36.0,11,5,1,1,0,0.7,0,0,0,0,0,0,0,0,0,0,0,14
"KONGOLO, T",DEF,6.1,36.0,37.5,11,2,0,0,0,3.18,0,0,0,0,2,1,0,0,0,0,2,14
"LUIZ, D",DEF,8.8,35.0,38.75,9,1,1,0,0,0.71,3,1,1,0,1,1,0,0,0,0,3,13
"WESTWOOD, A",MID,6.9,34.0,34.0,12,7,0,1,0,0.62,2,0,0,0,1,0,0,0,0,0,0,16
"SOLANKE, D",STR,9.0,34.0,34.0,5,16,1,1,0,0.22,0,0,0,0,0,0,0,0,0,0,0,0
"PUGH, M",MID,7.0,34.0,34.0,11,9,0,0,1,0.47,2,0,0,0,0,0,0,0,0,0,0,17
"WILLIAMS, D",MID,6.9,33.0,33.0,11,9,0,0,0,0.23,2,0,0,0,2,0,0,0,0,0,0,21
"DARMIAN, M",DEF,7.1,32.0,32.25,5,3,0,0,0,0.26,0,0,0,0,1,1,0,0,0,0,3,3
"ZEEGELAAR, M",DEF,6.5,32.0,35.75,12,0,0,2,1,0.74,4,1,0,0,1,0,0,0,0,0,2,17
"MAITLAND-NILES, A",MID,6.9,32.0,32.0,8,6,0,0,1,0.67,1,0,1,0,2,0,0,0,0,0,0,15
"CHAMBERS, C",DEF,6.8,31.0,33.5,10,2,0,0,0,0.87,1,0,0,2,0,0,0,0,0,0,2,14
"HOLDING, R",DEF,7.0,31.0,36.75,9,3,0,0,0,0.35,3,0,0,2,1,0,0,0,0,0,3,17
"ZINCHENKO, O",MID,6.9,31.0,31.0,6,1,0,0,0,0.52,1,0,1,5,1,0,0,0,0,0,0,3
"BATSHUAYI, M",STR,10.2,31.0,33.0,3,9,2,1,1,0.41,0,0,0,0,0,0,0,0,0,0,0,0
"DEULOFEU, G",MID,7.7,31.0,31.0,5,2,1,1,2,5.07,0,0,0,0,0,0,0,0,0,0,0,3
"SLIMANI, I",STR,8.7,31.0,31.0,3,13,1,1,1,0.14,1,0,0,0,0,0,0,0,0,0,0,0
"DRINKWATER, D",MID,8.5,30.0,30.0,5,7,1,0,0,0.28,0,0,0,1,2,0,0,0,0,0,0,5
"DANN, S",DEF,6.5,30.0,34.5,16,1,1,0,0,2.27,4,0,0,0,0,0,0,0,0,0,1,26
"BRITOS, M",DEF,6.4,29.0,35.0,10,2,1,0,0,0.62,3,1,1,0,2,0,0,0,0,0,2,16
"DARLOW, K",GK,5.8,29.0,34.25,10,0,0,0,0,0.17,0,0,0,0,0,0,0,0,2,0,2,15
"ROJO, M",DEF,7.3,29.0,29.0,8,1,0,0,0,0.87,6,0,0,1,1,0,0,0,0,0,3,8
"MANGALA, E",DEF,7.4,28.0,30.25,6,5,0,0,0,0.14,0,0,1,1,0,0,0,0,0,0,2,7
"SILVA, A",MID,7.8,27.0,27.0,9,3,0,1,0,0.21,3,0,0,0,3,0,0,0,0,0,0,18
"WAN-BISSAKA, A",DEF,6.6,27.0,29.5,7,0,0,0,0,0.56,1,0,0,0,3,1,0,0,0,0,2,10
"KAYAL, B",MID,6.9,27.0,27.0,8,11,0,0,0,0.25,2,0,0,0,1,0,0,0,0,0,0,14
"OSPINA, D",GK,6.6,27.0,27.25,4,1,0,0,1,0.15,0,0,0,0,0,0,0,0,0,0,2,3
"TAYLOR, C",DEF,6.6,26.0,27.0,10,1,0,0,0,0.49,3,0,0,0,1,0,0,0,0,0,2,12
"BILLING, P",MID,6.8,25.0,25.0,8,8,0,0,0,0.18,3,0,0,0,2,0,0,0,0,0,0,10
"FERNANDES, E",MID,6.8,25.0,25.0,9,5,0,1,0,0.36,1,0,0,0,0,0,0,0,0,0,0,18
"BEDNAREK, J",DEF,6.5,24.0,24.75,5,0,1,0,0,0.73,1,0,0,0,0,0,0,0,0,0,2,5
"RIEDEWALD, J",DEF,6.4,24.0,24.5,4,8,0,0,0,0.49,0,0,0,0,0,0,0,0,0,0,2,6
"OKAKA, S",STR,7.8,24.0,24.0,3,12,1,1,0,0.24,2,0,0,0,0,0,0,0,0,0,0,0
"JAMES, M",MID,6.9,24.0,24.0,11,2,0,0,0,0.18,2,0,0,0,1,0,0,0,0,0,0,15
"MCTOMINAY, S",MID,6.8,23.0,23.0,7,6,0,0,0,1.12,2,0,0,1,1,0,0,0,0,0,0,3
"ROSE, D",DEF,9.2,23.0,26.5,9,1,0,1,0,0.65,4,0,0,0,1,0,0,0,0,0,2,14
"MENDY, B",DEF,9.6,22.0,21.75,4,3,0,1,0,0.9,2,0,0,0,0,0,0,0,0,0,2,1
"ULLOA, L",STR,7.6,21.0,21.0,2,12,1,0,0,0.17,0,0,0,0,0,0,0,0,0,0,0,0
"LLORENTE, F",STR,9.2,21.0,21.0,1,15,1,0,0,0.24,1,0,0,0,0,0,0,0,0,0,0,0
"DIABATE, F",STR,7.4,21.0,21.0,5,9,0,1,0,0.51,1,0,0,0,0,0,0,0,0,0,0,0
"SCHELOTTO, E",DEF,6.5,21.0,27.5,15,5,0,0,0,0.43,3,0,0,0,0,1,0,0,0,0,0,30
"VLASIC, N",STR,7.7,19.0,19.0,7,5,0,0,0,0.27,0,0,0,0,0,0,0,0,0,0,0,0
"INGS, D",STR,7.7,19.0,19.0,3,5,1,1,0,0.67,0,0,0,0,0,0,0,0,0,0,0,0
"WALKER-PETERS, K",DEF,6.4,18.0,20.0,2,1,0,2,1,0.58,0,0,0,0,0,0,0,0,0,0,1,4
"CHALOBAH, N",MID,7.6,17.0,17.0,5,1,0,0,1,0.28,1,0,0,0,1,0,0,0,0,0,0,7
"LOCADIA, J",STR,7.5,17.0,17.0,3,3,1,1,0,0.55,0,0,0,0,0,0,0,0,0,0,0,0
"CATHCART, C",DEF,6.4,15.0,14.5,5,2,0,0,0,0.28,1,0,0,0,0,0,0,0,0,0,1,6
"PALMIERI, E",DEF,6.5,14.0,15.0,3,2,0,1,0,0.7,0,0,0,0,0,0,0,0,0,0,1,4
"GAZZANIGA, P",GK,5.8,14.0,14.0,1,0,0,0,1,0.09,0,0,0,0,0,0,0,0,0,0,1,0
"LALLANA, A",MID,9.6,12.0,12.0,1,11,0,0,0,0.45,1,0,0,0,0,0,0,0,0,0,0,0
"BRAVO, C",GK,6.9,12.0,11.75,2,1,0,0,0,0.15,0,0,0,0,0,0,0,0,0,0,1,1
"PUNCHEON, J",MID,6.5,11.0,11.0,6,4,0,0,0,1.6,5,0,0,0,0,0,0,0,0,0,0,14
"MCCARTHY, J",MID,6.5,11.0,11.0,3,1,0,0,0,0.96,0,0,0,0,2,0,0,0,0,0,0,6
